claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain,converted_label
"PolitiFact also debunked a baseless claim that the Texas fires were started by directed energy weapons.
",Facebook post,2024-02-29,2024-03-05 23:04:02,false,en,politifact.com,false
Crime statistics “no longer include data from 30% of the country including the biggest and most violent cities.”,Donald Trump,2024-06-18,2024-06-18 22:33:38,false,en,politifact.com,false
The Department of Justice (DOJ) has withdrawn its decision to press charges against self-appointed “son of god” Pastor Apollo Quiboloy. ,YouTube channel BANAT KAMARITES TV,2024-03-12,2024-03-14 00:00:00,false,en,verafiles.org,false
" If our victory solely depends on Hindu votes, we don’t mind losing. DMK will not stoop down to the level of begging Hindus for votes – Stalin",SOCIAL MEDIA POST,2024-01-31,2024-02-01 00:00:00,false,en,factly.in,false
The U.S. is establishing military bases in Finland and deployed U.S. troops are exempt from Finnish laws under the Defence Cooperation Agreement.,Social media users,2023-12-28,2024-01-03 00:00:00,false,en,logicallyfacts.com,false
pressing your ears can make you look younger,Social media User,,2024-07-05 00:00:00,false,en,thip.media,false
A zero-emission vehicle that caught fire in London,Instagram,2024-02-09,2024-01-31 00:00:00,false,en,logicallyfacts.com,false
President Joe Biden “directed New York AG Witch Hunt” into Donald Trump’s real estate,Donald Trump,2024-02-16,2024-02-20 23:43:03,false,en,politifact.com,false
Barbara O'Neill claims statins cause more harm to the heart than good.,Facebook,,2024-02-16 00:00:00,false,en,logicallyfacts.com,false
“We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.”,Joe Biden,2024-03-07,2024-03-11 22:00:32,half true,en,politifact.com,mixture
"“Tens of thousands of auto jobs were lost nationwide during Trump's presidency,” but during Biden’s presidency, “we've created more than 250,000 auto jobs.”",Joe Biden,2024-01-24,2024-01-29 23:01:17,half true,en,politifact.com,mixture
"""The Trump administration handed out taxpayer dollars to a foreign company. Hundreds of homes and farms were bulldozed, and over $500 million in taxpayer dollars were wasted preparing for Foxconn."" ",Joe Biden,2024-05-17,2024-07-20 02:21:39,half true,en,politifact.com,mixture
"Miami’s immigration courts have the “largest backlog of any court in this country with 10% of the overall immigration cases,” and “more than 90%” of people lose their asylum claims.",Jeanette Nuñez,2024-03-15,2024-03-21 19:37:04,half true,en,politifact.com,mixture
"""Women, Black Americans, Hispanic Americans, Asian Americans, all saw record low employment under Donald J. Trump.""",Glenn Youngkin,2024-07-16,2024-07-16 05:05:24,half true,en,politifact.com,mixture
"Robert F. Kennedy Jr. called voter ID “racist,” calls NRA a “terrorist organization” and supports affirmative action.",Donald Trump,2024-05-02,2024-05-14 18:28:22,half true,en,politifact.com,mixture
“The vast majority of colleges in New York State do not have on-campus poll sites.”,Jonathan Becker,2024-02-16,2024-04-08 20:54:35,half true,en,politifact.com,mixture
"While talking about a bipartisan border bill, ""by the way, the Border Patrol endorsed me, endorsed my position.""",Joe Biden,2024-06-27,2024-06-28 06:00:14,half true,en,politifact.com,mixture
Paracetamol works faster on an empty stomach,Social media user,,2024-05-27 00:00:00,half true,en,thip.media,mixture
"“Under the Trump administration, just three and a half years ago, we were energy independent.”",Donald Trump,2024-07-18,2024-07-19 06:11:07,half true,en,politifact.com,mixture
“Wage increases have exceeded” the cost of inflation.,Joe Biden,2024-06-04,2024-06-06 19:16:38,half true,en,politifact.com,mixture
"""We’ve already cut the federal deficit by over $1 trillion.""",Joe Biden,2024-03-08,2024-03-09 00:03:46,half true,en,politifact.com,mixture
"The Trump administration ""added more to the national debt than any presidential term in American history.""",Joe Biden,2024-03-08,2024-03-13 01:55:39,half true,en,politifact.com,mixture
"""The much-trumpeted job growth in the last year was ENTIRELY part-time jobs.""",Robert F. Kennedy Jr.,2024-03-31,2024-04-26 20:56:48,half true,en,politifact.com,mixture
"“The weapons that Ukraine used in the early days of this war to fend off the Russian invasion are the weapons that Donald Trump sent, that Barack Obama and Joe Biden had refused to send.”",Tom Cotton,2024-06-16,2024-07-03 11:33:02,half true,en,politifact.com,mixture
walking barefoot on grass can improve sleep,Social media User,,2024-05-28 00:00:00,half true,en,thip.media,mixture
"Insulin for Medicare beneficiaries ""was costing 400 bucks a month on average. It now costs $35 a month.""",Joe Biden,2024-03-19,2024-04-03 13:17:44,half true,en,politifact.com,mixture
"""The last administration oversaw the largest increase in murders ever recorded.""",Joe Biden,2024-05-24,2024-06-10 16:28:37,half true,en,politifact.com,mixture
The Trump administration “achieved the lowest African American unemployment rate and the lowest African American poverty rate ever recorded.”,Donald Trump,2024-06-15,2024-06-20 16:29:36,half true,en,politifact.com,mixture
"“It's very misleading when (President Biden) says (inflation) used to be at 9%. This is compounding. It’s not like it went down from 9% to 3%. This is building month after month. The better way to think about it is that it’s 18%, 19% over the last three years.""",Marco Rubio,2024-04-11,2024-04-17 15:46:57,half true,en,politifact.com,mixture
Synthetic drugs can cause multiple organ failure and heart attacks,Social Media User,,2024-05-01 00:00:00,half true,en,thip.media,mixture
The Bipartisan Safer in Communities Act led to “a 12% reduction in urban homicides in this country.”,Chris Murphy,2024-02-11,2024-02-15 21:37:07,half true,en,politifact.com,mixture
Donald Trump wants to terminate the Affordable Care Act.,Joe Biden,2024-05-20,2024-06-04 02:09:21,half true,en,politifact.com,mixture
"“Bidenomics is costing the typical American household over $11,400 more a year to buy the basics.”",Bryan Steil,2024-02-01,2024-02-21 14:38:39,half true,en,politifact.com,mixture
“Inflation has been at the pre-pandemic level of 2% over the last half year.”,Joe Biden,2024-02-04,2024-02-07 23:20:37,half true,en,politifact.com,mixture
"Emergency officials warn to “stock up on food, water, and fuel ahead of the eclipse.”",Facebook posts,2024-03-14,2024-03-19 20:41:36,half true,en,politifact.com,mixture
"Dollar Tree, Walgreens, Macy’s, Foot Locker, Gap, Burger King, Regal Cinemas and Kroger have had mass store closures during Joe Biden’s presidency.",Facebook posts,2024-04-19,2024-04-25 21:40:58,half true,en,politifact.com,mixture
 A teeth whitening serum can effectively whiten yellow teeth,Social media User,,2024-02-22 00:00:00,half true,en,thip.media,mixture
"In a speech on Jan. 6, 2021, Donald Trump told supporters to storm the U.S. Capitol to delay the constitutional process that would affirm Joe Biden’s presidency.",,,2024-01-06 06:00:01,mixture,en,snopes.com,mixture
Former President Donald Trump “has the worst record of job loss of any president.”,Nancy Pelosi,2024-04-29,2024-05-02 15:42:05,half true,en,politifact.com,mixture
Delhi’s Power Minister Atishi says power subsidy will be discontinued,X and Facebook,2024-05-23,2024-05-24 00:00:00,misleading,en,logicallyfacts.com,mostly false
the human body can not digest soy,Social Media User,,2024-07-12 00:00:00,mostly false,en,thip.media,mostly false
Atlantic And Pacific Ocean Waters Not Getting Mixed !!,Social Media Users,2024-02-03,2024-02-05 00:00:00,misleading,en,srilanka.factcrescendo.com,mostly false
"""It’s only a misdemeanor.""",Donald Trump,2024-05-31,2024-05-31 20:59:14,misleading,en,politifact.com,mostly false
drinking refrigerated water harms your body,Social media User,,2024-02-22 00:00:00,mostly false,en,thip.media,mostly false
birth control pills are a major source of oestrogen in our water supply,Social media User,,2024-07-19 00:00:00,mostly false,en,thip.media,mostly false
A teeth whitening product can make your teeth white,Social Media User,,2024-07-16 00:00:00,mostly false,en,thip.media,mostly false
All Newly elected Directors of  Galle District Chamber of Commerce and Industries Are NPP !,Social Media Users,2024-02-07,2024-03-08 00:00:00,misleading,en,srilanka.factcrescendo.com,mostly false
Donald Trump’s plan is “cutting Social Security for you.”,Joe Biden,2024-04-04,2024-06-21 21:27:01,mostly false,en,politifact.com,mostly false
 Visuals of the new Prime Minister of UK Keir Starmer visiting the Akshardham temple in London after assuming office.,Social Media User,2024-07-07,2024-07-16 00:00:00,misleading,en,factly.in,mostly false
"Rep. Ruben Gallego ""supports … allowing illegals to vote.""",Kari Lake,2024-05-14,2024-05-29 16:12:36,misleading,en,factcheck.org,mostly false
Visuals showing recent airlines crash in Nepal's Tribhuvan International Airport  ,X user,2024-07-24,2024-07-24 00:00:00,misleading,en,logicallyfacts.com,mostly false
Video of Islamic cleric Twaha Siddiqui inciting Muslims to prepare their children to ‘wage war against Hindus.’,Social Media User,2024-07-02,2024-07-02 00:00:00,misleading,en,factly.in,mostly false
" This image of the tilted Yun Men Tsui Ti building is related to the recent earthquake in Taiwan.
",Facebook,,2024-04-12 00:00:00,misleading,en,logicallyfacts.com,mostly false
BMC bribe 'rate-card' under Eknath Shinde and Devendra Fadnavis published in a newspaper,"Preeti Sharma Menon, Aam Aadmi Party Mumbai",,2024-06-14 00:00:00,misleading,en,logicallyfacts.com,mostly false
"Sugar is linked to ADHD in infants and conditions like dementia, Alzheimer’s, glaucoma, skin aging, insomnia, and diabetes in adults. Excess sugar may also contribute to cancer.",SOCIAL MEDIA POST ,2024-02-09,2024-02-29 00:00:00,misleading,en,factly.in,mostly false
drinking jeera water can cause miraculous weight loss,Social media user,,2024-07-19 00:00:00,mostly false,en,thip.media,mostly false
Protests against PM Narendra Modi's recent visit to Kanyakumari,Social media,2024-05-29,2024-05-31 00:00:00,misleading,en,logicallyfacts.com,mostly false
"Abbas Ansari, son of Mukhtar Ansari, threatened 'revenge' against police officials","Facebook, X",2024-03-29,2024-04-01 00:00:00,misleading,en,logicallyfacts.com,mostly false
Old video from Mathura shared as video from Hathras stampede,X,2024-07-02,2024-07-05 00:00:00,misleading,en,logicallyfacts.com,mostly false
"""I thought STRIKES were supposed to be ‘unlimited’ when we were picking our jury?""",Donald Trump,2024-04-17,2024-04-17 21:25:39,misleading,en,politifact.com,mostly false
"Visuals of TMC candidate from Bishnupur, Sujata Mondal being chased away by Arambagh voters ahead of 2024 General Elections",SOCIAL MEDIA POST,2024-03-23,2024-03-27 00:00:00,misleading,en,factly.in,mostly false
"""An Important Police Message That Everyone Should Read"" - Released by Sri Lanka Police",Social Media Users,2024-01-16,2024-01-18 00:00:00,misleading,en,srilanka.factcrescendo.com,mostly false
Video of Bihar CM Nitish Kumar carrying out a march demanding a special category status for Bihar in 2024.,Social Media User,2024-07-08,2024-07-09 00:00:00,misleading,en,factly.in,mostly false
Herbal hair oils can significantly enhance hair growth by reducing hair fall,SOCIAL MEDIA POST,2024-01-09,2024-01-11 00:00:00,misleading,en,factly.in,mostly false
A Geologist Stuck In A Mud Puddle And Being Helped By An Orangutan !!(Image),Social Media Users,2024-05-05,2024-05-07 00:00:00,misleading,en,srilanka.factcrescendo.com,mostly false
"Claimed that the Biden administration ""achieved the lowest unemployment rate for Latinos in a long, long time.""",Joe Biden,2024-03-19,2024-03-21 20:26:58,misleading,en,factcheck.org,mostly false
biotin gummies and serum reverse hair fall,Social Media User,,2024-07-18 00:00:00,mostly false,en,thip.media,mostly false
The video shows Brighton Mayor Mohammed Asaduzzman.,X and Facebook users,2024-07-07,2024-07-08 00:00:00,misleading,en,logicallyfacts.com,mostly false
"Local women demanding ₹8500, as promised by Rahul Gandhi, broke into Congress MP Selja Kumari’s office.",X users,2024-06-15,2024-06-21 00:00:00,misleading,en,logicallyfacts.com,mostly false
"Says in his three election campaigns, the early polls were ""wildly incorrect, all three times."" ",Ron Johnson,2024-05-19,2024-06-05 14:46:56,mostly true,en,politifact.com,mostly true
“Big drug companies charge as little as $7 for an inhaler overseas and nearly $500 for the exact same one here in the US.” ,Tammy Baldwin,2024-02-01,2024-02-23 13:54:23,mostly true,en,politifact.com,mostly true
"“Since 1989 and a new age of globalization began, 51 million jobs have been created in America. 49 million, 96%, have been created under Democratic presidents.”",Simon Rosenberg,2024-03-08,2024-03-21 20:00:13,mostly true,en,politifact.com,mostly true
The current Congress is “the least productive in our lifetime.”,Donna Brazile,2024-03-24,2024-04-03 21:42:57,mostly true,en,politifact.com,mostly true
"""Unlike Mike Pence, (J.D.) Vance said he would have carried out Trump's plan to overturn the 2020 election.""",Kamala Harris,2024-07-17,2024-07-18 05:35:00,mostly true,en,politifact.com,mostly true
"Under President Joe Biden, “Black unemployment is the lowest in American history.”",Donna Brazile,2024-02-04,2024-02-05 22:26:06,mostly true,en,politifact.com,mostly true
"“Due to the arrangements that I've reached with (Mexico) President Obrador, the number of migrants coming … to our shared border unlawfully in recent months has dropped dramatically.”",Joe Biden,2024-06-05,2024-06-06 01:30:46,mostly true,en,politifact.com,mostly true
"Black unemployment is the lowest level it’s been in a long, long time.""",Joe Biden,2024-06-27,2024-06-28 05:52:42,mostly true,en,politifact.com,mostly true
"""I said I’d never raise the tax on anybody if you're making less than $400,000. I didn’t.""",Joe Biden,2024-06-27,2024-06-28 05:54:53,mostly true,en,politifact.com,mostly true
"After being shot at a Milwaukee rally in 1912, former President Teddy Roosevelt “finished his speech and he kept fighting.” ",Donald Trump Jr. ,2024-07-18,2024-07-20 02:27:24,mostly true,en,politifact.com,mostly true
"“TSA found with metal detectors nearly 7,000 firearms at airports last year — an all-time high.”",Chuck Schumer,2024-01-29,2024-02-22 05:55:42,mostly true,en,politifact.com,mostly true
"“When I worked on the Affordable Care Act, I wrote the amendment that allows all young people to stay on their parents’ health insurance until they turn 26. Overnight, millions of young Americans got health care.” ",Tammy Baldwin,2024-05-05,2024-05-17 19:48:08,mostly true,en,politifact.com,mostly true
"""Unfortunately during COVID, the clerks in Madison and Milwaukee told their constituents that they were actually indefinitely confined and did not have to come and vote, which was incorrect."" ",Cindi Duchow,2023-11-09,2024-01-26 14:36:02,mostly true,en,politifact.com,mostly true
"""Americans pay more for prescription drugs than anywhere in the world.""",Joe Biden,2024-03-07,2024-03-08 05:47:10,mostly true,en,politifact.com,mostly true
"“Nearly a quarter million birds in New York City, and more than one billion across the country, die each year from collisions with buildings.”",Brad Holyman-Sigal,2024-02-26,2024-03-25 21:12:34,mostly true,en,politifact.com,mostly true
"In Milwaukee, we “never defunded the police.”",Cavalier Johnson,2024-02-26,2024-03-15 23:18:19,mostly true,en,politifact.com,mostly true
"In his Time magazine interview, Donald Trump “said states have the right to monitor pregnant women to enforce these bans, and states have the right to punish pregnant women for seeking out abortion care.”",Kamala Harris,2024-05-01,2024-05-02 14:44:46,mostly true,en,politifact.com,mostly true
"In 2020, nine NATO members reached an alliance goal of spending at least 2% of their gross domestic product on defense, and that number rose to 23 members in 2024, recent NATO data shows.",Joe Biden,2024-07-09,2024-07-12 20:38:35,mostly true,en,politifact.com,mostly true
“Florida state government (has the) lowest number of state employees per capita in the country.”,Ron DeSantis,2024-01-18,2024-01-23 21:40:29,mostly true,en,politifact.com,mostly true
"Starting in 2025 ""no matter what your total bills are for prescription drugs,” Medicare Part D users will never pay “more than $2,000 a year, because some of these cancer drugs are 10(,000 to) 15,000 bucks a year.”",Joe Biden,2024-04-09,2024-04-18 21:58:46,mostly true,en,politifact.com,mostly true
"“Each year, more than $1 billion is stolen from” workers in New York state through wage theft.",Linda Rosenthal,2024-02-06,2024-02-22 05:53:50,mostly true,en,politifact.com,mostly true
"""Grocery prices are up more than 21%. Electricity is up 31%. Gas is up 48%. Mortgage rates have more than doubled, and rent is skyrocketing.""",Katie Britt,2024-07-16,2024-07-16 05:04:00,mostly true,en,politifact.com,mostly true
"If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",Joe Biden,2024-02-22,2024-03-04 14:11:05,mostly true,en,politifact.com,mostly true
"“Today, America has record energy production and we are energy independent.”",Kamala Harris,2024-07-18,2024-07-26 21:35:49,mostly true,en,politifact.com,mostly true
"""I've changed (the law) in the way that now you're in a situation where there are 40% fewer people coming across the border illegally.""",Joe Biden,2024-06-27,2024-06-28 05:23:46,mostly true,en,politifact.com,mostly true
"“Support for Roe is higher today in America than it has ever been.""",Joe Biden,2024-04-09,2024-04-11 02:36:27,mostly true,en,politifact.com,mostly true
"A new Missouri bill “would put teachers on the sex offense registry if they ‘contribute to social transition’” of transgender students, including by using gender-affirming pronouns.
",Instagram posts,2024-03-03,2024-03-14 14:28:03,mostly true,en,politifact.com,mostly true
"“Even before the pandemic, America went into a manufacturing recession.”",Pete Buttigieg,2024-07-28,2024-07-31 23:13:25,mostly true,en,politifact.com,mostly true
"""Economists say (Trump’s proposed tariffs are) going to cost the average American $2,500 a year or more.""",Joe Biden,2024-06-27,2024-06-28 05:49:49,mostly true,en,politifact.com,mostly true
President Joe Biden “bans TikTok for government employees but creates an account for his own campaign.”,Katie Britt,2024-03-07,2024-03-08 19:38:03,mostly true,en,politifact.com,mostly true
The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,Patrick Burke,2024-03-03,2024-03-21 23:43:31,true,en,politifact.com,true
"“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”",Kamala Harris,2024-01-22,2024-01-30 22:29:41,true,en,politifact.com,true
"From 2018 through early 2024, after making a remark about how all of the nominees for best director at the 75th annual Golden Globe Awards were men, actor Natalie Portman did not act in any feature films directed by women.",,,2024-01-05 16:40:42,true,en,snopes.com,true
"Filmmaker Sharmeen Obaid-Chinoy, who in 2023 was announced as the first female director of a new &quot;Star Wars&quot; feature film, once said, &quot;I enjoy making men uncomfortable.&quot;",,,2024-01-05 12:31:52,correct attribution,en,snopes.com,true
Minnesota incarcerates “about a third of what Wisconsin does.” ,Kelda Roys,2024-02-01,2024-02-14 18:04:30,true,en,politifact.com,true
A photo authentically shows Russian President Vladimir Putin speaking with regional leaders at an enormous but sparsely populated table.,,,2024-01-09 15:19:04,true,en,snopes.com,true
George Washington died before dinosaurs were discovered. ,,,2024-01-03 17:02:37,true,en,snopes.com,true
"Under Joe Biden, there are “record numbers of new Black entrepreneurs”",Joe Biden,2024-02-13,2024-02-15 23:08:58,true,en,politifact.com,true
"""Donald Trump deported fewer people than Barack Obama did when he was president.""",Ron DeSantis,2024-01-11,2024-01-11 06:11:15,true,en,politifact.com,true
"In January 2024, a rocket was launched into space carrying the remains or DNA samples of 330 people, including George Washington, John F. Kennedy and &quot;Star Trek&quot; cast members.",,,2024-01-09 10:26:11,true,en,snopes.com,true
"In August 2007, then-U.S. Sen. Joe Biden said &quot;no great nation&quot; can have uncontrolled borders and proposed increased security along the U.S.-Mexico border, including a partial border fence and more Border Patrol agents.",,,2024-01-10 10:22:40,true,en,snopes.com,true
"Former U.S. President Bill Clinton once said, &quot;If you live long enough, you'll make mistakes,&quot; and, &quot;If you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.&quot;",,,2024-01-11 06:00:01,correct attribution,en,snopes.com,true
"“We passed 27 bills last year, which is the fewest since the Depression.”",Mark Pocan,2024-03-27,2024-04-18 14:24:44,true,en,politifact.com,true
"""Kamala Harris co-sponsored (Sen.) Bernie Sanders’ $32 trillion plan (to take over) the entire U.S. health system.""",Donald Trump,2024-07-24,2024-07-25 23:50:41,true,en,politifact.com,true
A video authentically shows UFC fighter Conor McGregor putting his arm around Russian President Vladimir Putin for a photo-op before removing it after someone in Putin's entourage tells him not to. ,,,2024-01-03 17:40:05,true,en,snopes.com,true
"A photo authentically depicts Donald Trump with two of his children, Ivanka and Eric, alongside Jeffrey Epstein in 1993.",,,2024-01-02 17:26:58,true,en,snopes.com,true
“We're having the largest classes of correctional officers we've ever had before.” ,Tony Evers,2024-02-11,2024-03-06 15:43:23,true,en,politifact.com,true
"“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.” ",Brian Schimming,2024-03-06,2024-04-05 15:32:34,true,en,politifact.com,true
"In high school, actor Lily Gladstone was voted “Most Likely to Win An Oscar” by her peers.",,,2024-01-09 13:10:06,true,en,snopes.com,true
"“Wisconsin had over 1,400 opioid overdose deaths in 2022.” ",Tammy Baldwin,2024-01-21,2024-02-06 15:47:27,true,en,politifact.com,true
"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",Rep. Elise Stefanik,2024-01-28,2024-02-23 16:16:09,true,en,politifact.com,true
Holding a car's key fob to your head increases the range from which the fob can lock or unlock a car.,,,2024-01-02 15:51:26,true,en,snopes.com,true
“Violent crime is near a record 50-year low.”,Joe Biden,2024-05-15,2024-05-28 16:25:51,true,en,politifact.com,true
“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.” ,Tammy Baldwin,2024-03-07,2024-03-29 19:37:51,true,en,politifact.com,true
"Viral video showed hundreds of people performing a Fascist salute in Rome on Jan. 7, 2024.",,,2024-01-10 10:07:36,true,en,snopes.com,true
"A 2002 photo accurately depicts 22-year-old Chauntae Davies, an accuser of Jeffrey Epstein, giving former President Bill Clinton a shoulder massage.",,,2024-01-10 11:52:59,true,en,snopes.com,true
"Former U.S. President Bill Clinton reportedly once said, &quot;If you live long enough, you'll make mistakes,&quot; and, &quot;If you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.&quot;",,,2024-01-05 13:11:32,correct attribution,en,snopes.com,true
"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",António Guterres,2024-03-18,2024-03-26 21:59:28,true,en,politifact.com,true
"During a Fox News town hall, former U.S. President Donald Trump claimed credit for overturning Roe V. Wade, saying, “For 54 years they were trying to get Roe v. Wade terminated, and I did it. And I’m proud to have done it.&quot;",,,2024-01-11 11:51:44,correct attribution,en,snopes.com,true
“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,Kirsten Gillibrand,2024-02-03,2024-02-20 19:58:13,true,en,politifact.com,true
